Channel;VariantID;PhotoType;Sensitive
MRP;5526882328029370;fr;FALSE
MRP;5526882328029370;in;FALSE
MRP;5526882328029370;ou;FALSE
MRP;5526882328029370;sw;FALSE
MRP;5983760397729772;cu;FALSE
MRP;5983760397729772;e1;FALSE
MRP;5983760397729772;in;FALSE
MRP;5983760397729772;sw;FALSE
MRP;5983760397729785;bk;FALSE
MRP;5983760397729785;cu;FALSE
MRP;5983760397729785;e1;FALSE
MRP;5983760397729785;in;FALSE
MRP;5983760397729785;sw;FALSE
MRP;5983760397729782;cu;FALSE
MRP;5983760397729782;e1;FALSE
MRP;5983760397729782;in;FALSE
MRP;5983760397729782;sw;FALSE
MRP;5983760397729776;cu;FALSE
MRP;5983760397729776;e1;FALSE
MRP;5983760397729776;in;FALSE
MRP;5983760397729776;sw;FALSE
MRP;5983760397729799;cu;FALSE
MRP;5983760397729799;e1;FALSE
MRP;5983760397729799;in;FALSE
MRP;5983760397729799;sw;FALSE
MRP;5983760397729787;cu;FALSE
MRP;5983760397729787;e1;FALSE
MRP;5983760397729787;in;FALSE
MRP;5983760397729787;sw;FALSE
MRP;5983760397729794;bk;FALSE
MRP;5983760397729794;cu;FALSE
MRP;5983760397729794;in;FALSE
MRP;5983760397729794;ou;FALSE
MRP;5983760397729794;sw;FALSE
MRP;5983760397729811;bk;FALSE
MRP;5983760397729811;cu;FALSE
MRP;5983760397729811;in;FALSE
MRP;5983760397729811;ou;FALSE
MRP;5983760397729811;sw;FALSE
MRP;5983760397729773;bk;FALSE
MRP;5983760397729773;cu;FALSE
MRP;5983760397729773;in;FALSE
MRP;5983760397729773;ou;FALSE
MRP;5983760397729773;sw;FALSE
MRP;5983760397729781;bk;FALSE
MRP;5983760397729781;cu;FALSE
MRP;5983760397729781;in;FALSE
MRP;5983760397729781;ou;FALSE
MRP;5983760397729781;sw;FALSE
MRP;5983760397729775;bk;FALSE
MRP;5983760397729775;cu;FALSE
MRP;5983760397729775;e1;FALSE
MRP;5983760397729775;fr;FALSE
MRP;5983760397729775;in;FALSE
MRP;5983760397729775;ou;FALSE
MRP;5983760397729775;sw;FALSE
MRP;5983760397729790;bk;FALSE
MRP;5983760397729790;cu;FALSE
MRP;5983760397729790;e1;FALSE
MRP;5983760397729790;in;FALSE
MRP;5983760397729790;ou;FALSE
MRP;5983760397729790;sw;FALSE
MRP;5983760397729778;bk;FALSE
MRP;5983760397729778;cu;FALSE
MRP;5983760397729778;e1;FALSE
MRP;5983760397729778;in;FALSE
MRP;5983760397729778;ou;FALSE
MRP;5983760397729778;sw;FALSE
MRP;5983760397729780;bk;FALSE
MRP;5983760397729780;cu;FALSE
MRP;5983760397729780;e1;FALSE
MRP;5983760397729780;fr;FALSE
MRP;5983760397729780;in;FALSE
MRP;5983760397729780;ou;FALSE
MRP;5983760397729780;sw;FALSE
MRP;547799495832954;e1;FALSE
MRP;547799495832954;fr;FALSE
MRP;547799495832954;in;FALSE
MRP;547799495832954;sw;FALSE
MRP;547799495832942;e1;FALSE
MRP;547799495832942;e2;FALSE
MRP;547799495832942;fr;FALSE
MRP;547799495832942;in;FALSE
MRP;547799495832942;sw;FALSE
MRP;547799495832948;e1;FALSE
MRP;547799495832948;fr;FALSE
MRP;547799495832948;in;FALSE
MRP;547799495832948;sw;FALSE
MRP;547799495832958;bk;FALSE
MRP;547799495832958;cu;FALSE
MRP;547799495832958;e1;FALSE
MRP;547799495832958;e2;FALSE
MRP;547799495832958;in;FALSE
MRP;547799495832958;ou;FALSE
MRP;547799495832958;sw;FALSE
MRP;547799495832955;bk;FALSE
MRP;547799495832955;cu;FALSE
MRP;547799495832955;e1;FALSE
MRP;547799495832955;in;FALSE
MRP;547799495832955;ou;FALSE
MRP;547799495832955;sw;FALSE
MRP;547799495832945;bk;FALSE
MRP;547799495832945;cu;FALSE
MRP;547799495832945;e1;FALSE
MRP;547799495832945;in;FALSE
MRP;547799495832945;ou;FALSE
MRP;547799495832945;sw;FALSE
MRP;547799495832946;bk;FALSE
MRP;547799495832946;cu;FALSE
MRP;547799495832946;e1;FALSE
MRP;547799495832946;in;FALSE
MRP;547799495832946;sw;FALSE
MRP;547799495832949;bk;FALSE
MRP;547799495832949;cu;FALSE
MRP;547799495832949;e1;FALSE
MRP;547799495832949;in;FALSE
MRP;547799495832949;sw;FALSE
MRP;547799495832950;bk;FALSE
MRP;547799495832950;cu;FALSE
MRP;547799495832950;e1;FALSE
MRP;547799495832950;in;FALSE
MRP;547799495832950;ou;FALSE
MRP;547799495832950;sw;FALSE
MRP;547799495832956;bk;FALSE
MRP;547799495832956;cu;FALSE
MRP;547799495832956;e1;FALSE
MRP;547799495832956;e2;FALSE
MRP;547799495832956;in;FALSE
MRP;547799495832956;ou;FALSE
MRP;547799495832956;sw;FALSE
MRP;3983529959633834;bk;FALSE
MRP;3983529959633834;cu;FALSE
MRP;3983529959633834;e1;FALSE
MRP;3983529959633834;e2;FALSE
MRP;3983529959633834;e3;FALSE
MRP;3983529959633834;fr;FALSE
MRP;3983529959633834;in;FALSE
MRP;3983529959633834;ou;FALSE
MRP;3983529959633834;sw;FALSE
MRP;3983529959633839;bk;FALSE
MRP;3983529959633839;cu;FALSE
MRP;3983529959633839;e1;FALSE
MRP;3983529959633839;e2;FALSE
MRP;3983529959633839;e3;FALSE
MRP;3983529959633839;fr;FALSE
MRP;3983529959633839;in;FALSE
MRP;3983529959633839;ou;FALSE
MRP;3983529959633839;sw;FALSE
MRP;3983529959633837;bk;FALSE
MRP;3983529959633837;cu;FALSE
MRP;3983529959633837;e1;FALSE
MRP;3983529959633837;e2;FALSE
MRP;3983529959633837;e3;FALSE
MRP;3983529959633837;fr;FALSE
MRP;3983529959633837;in;FALSE
MRP;3983529959633837;ou;FALSE
MRP;3983529959633837;sw;FALSE
MRP;3983529959633831;bk;FALSE
MRP;3983529959633831;cu;FALSE
MRP;3983529959633831;e1;FALSE
MRP;3983529959633831;e2;FALSE
MRP;3983529959633831;fr;FALSE
MRP;3983529959633831;in;FALSE
MRP;3983529959633831;ou;FALSE
MRP;3983529959633831;sw;FALSE
MRP;3983529959633833;bk;FALSE
MRP;3983529959633833;cu;FALSE
MRP;3983529959633833;e1;FALSE
MRP;3983529959633833;e2;FALSE
MRP;3983529959633833;e3;FALSE
MRP;3983529959633833;fr;FALSE
MRP;3983529959633833;in;FALSE
MRP;3983529959633833;ou;FALSE
MRP;3983529959633833;sw;FALSE
MRP;3983529959633832;bk;FALSE
MRP;3983529959633832;cu;FALSE
MRP;3983529959633832;e1;FALSE
MRP;3983529959633832;e2;FALSE
MRP;3983529959633832;e3;FALSE
MRP;3983529959633832;fr;FALSE
MRP;3983529959633832;in;FALSE
MRP;3983529959633832;ou;FALSE
MRP;3983529959633832;sw;FALSE
MRP;3983529957918603;bk;FALSE
MRP;3983529957918603;cu;FALSE
MRP;3983529957918603;e1;FALSE
MRP;3983529957918603;e2;FALSE
MRP;3983529957918603;e3;FALSE
MRP;3983529957918603;fr;FALSE
MRP;3983529957918603;in;FALSE
MRP;3983529957918603;ou;FALSE
MRP;3983529957918603;sw;FALSE
MRP;2307389542181291;bk;FALSE
MRP;2307389542181291;cu;FALSE
MRP;2307389542181291;e1;FALSE
MRP;2307389542181291;fr;FALSE
MRP;2307389542181291;in;FALSE
MRP;2307389542181291;ou;FALSE
MRP;2307389542181291;sw;FALSE
MRP;2307389542180774;bk;FALSE
MRP;2307389542180774;cu;FALSE
MRP;2307389542180774;e1;FALSE
MRP;2307389542180774;fr;FALSE
MRP;2307389542180774;in;FALSE
MRP;2307389542180774;ou;FALSE
MRP;2307389542180774;sw;FALSE
MRP;2307389542181731;bk;FALSE
MRP;2307389542181731;cu;FALSE
MRP;2307389542181731;e1;FALSE
MRP;2307389542181731;fr;FALSE
MRP;2307389542181731;in;FALSE
MRP;2307389542181731;ou;FALSE
MRP;2307389542181731;sw;FALSE
MRP;2307389542181441;bk;FALSE
MRP;2307389542181441;cu;FALSE
MRP;2307389542181441;e2;FALSE
MRP;2307389542181441;fr;FALSE
MRP;2307389542181441;in;FALSE
MRP;2307389542181441;ou;FALSE
MRP;2307389542181441;sw;FALSE
MRP;2307389542181585;bk;FALSE
MRP;2307389542181585;cu;FALSE
MRP;2307389542181585;e1;FALSE
MRP;2307389542181585;fr;FALSE
MRP;2307389542181585;in;FALSE
MRP;2307389542181585;ou;FALSE
MRP;2307389542181585;sw;FALSE
MRP;2307389542179713;bk;FALSE
MRP;2307389542179713;cu;FALSE
MRP;2307389542179713;e1;FALSE
MRP;2307389542179713;fr;FALSE
MRP;2307389542179713;in;FALSE
MRP;2307389542179713;ou;FALSE
MRP;2307389542179713;sw;FALSE
MRP;2307389542179522;bk;FALSE
MRP;2307389542179522;cu;FALSE
MRP;2307389542179522;e1;FALSE
MRP;2307389542179522;e2;FALSE
MRP;2307389542179522;in;FALSE
MRP;2307389542179522;ou;FALSE
MRP;2307389542179522;sw;FALSE
MRP;2307389542180660;bk;FALSE
MRP;2307389542180660;cu;FALSE
MRP;2307389542180660;e1;FALSE
MRP;2307389542180660;in;FALSE
MRP;2307389542180660;ou;FALSE
MRP;2307389542180660;sw;FALSE
MRP;2307389542179524;bk;FALSE
MRP;2307389542179524;cu;FALSE
MRP;2307389542179524;e1;FALSE
MRP;2307389542179524;in;FALSE
MRP;2307389542179524;ou;FALSE
MRP;2307389542179524;sw;FALSE
MRP;2307389542181098;bk;FALSE
MRP;2307389542181098;cu;FALSE
MRP;2307389542181098;e1;FALSE
MRP;2307389542181098;in;FALSE
MRP;2307389542181098;sw;FALSE
MRP;2307389542182123;bk;FALSE
MRP;2307389542182123;cu;FALSE
MRP;2307389542182123;e1;FALSE
MRP;2307389542182123;in;FALSE
MRP;2307389542182123;sw;FALSE
MRP;2307389542181679;cu;FALSE
MRP;2307389542181679;in;FALSE
MRP;2307389542181679;ou;FALSE
MRP;2307389542181679;sw;FALSE
MRP;2307389542179598;cu;FALSE
MRP;2307389542179598;in;FALSE
MRP;2307389542179598;ou;FALSE
MRP;2307389542179598;sw;FALSE
MRP;2307389542179738;cu;FALSE
MRP;2307389542179738;in;FALSE
MRP;2307389542179738;ou;FALSE
MRP;2307389542179738;sw;FALSE
MRP;2307389542180809;cu;FALSE
MRP;2307389542180809;e1;FALSE
MRP;2307389542180809;fr;FALSE
MRP;2307389542180809;in;FALSE
MRP;2307389542180809;sw;FALSE
MRP;2307389542180586;cu;FALSE
MRP;2307389542180586;e1;FALSE
MRP;2307389542180586;fr;FALSE
MRP;2307389542180586;in;FALSE
MRP;2307389542180586;sw;FALSE
MRP;5756269973102518;bk;FALSE
MRP;5756269973102518;cu;FALSE
MRP;5756269973102518;e1;FALSE
MRP;5756269973102518;fr;FALSE
